Disease,Protein
D267740,Q13255
D267740,Q9H2X9
D267740,P39905
D267740,Q05193
D267740,P47870
D267740,Q9NY47
D267740,Q9Y289
D267740,P43005
D267740,Q14683
D267740,P22607
D267740,P21796
D267740,O00305
D267740,Q9Y484
D267740,O43186
D267740,P31749
D267740,P49815
D267740,O95259
D267740,Q96NR8
D267740,P08913
D267740,P53539
D267740,P55316
D267740,P35498
D267740,P18507
D267740,P63261
D267740,P78540
D267740,P43004
D267740,P41229
D267740,O76039
D267740,Q9UBL9
D267740,Q9BRB3
D267740,Q14442
D267740,Q8NCM2
D267740,O14525
D267740,Q68CZ1
D267740,Q06413
D267740,P02768
D267740,P51608
D267740,Q16881
D267740,Q00577
D267740,P00450
D267740,Q7Z6L0
D267740,Q99571
D267740,Q9H0V9
D267740,Q8WXX7
D267740,Q92574
D267740,P63302
D267740,Q6UB99
D267740,Q9NP73
D267740,Q96DA2
D267740,P09471
D267740,P01100
D267740,P07203
D267740,Q13224
D267740,Q13303
D267740,Q6UVM3
D267740,P54098
D267740,P23560
D267740,Q5JU85
D267740,Q05086
D267740,P30531
D267740,O75460
D267740,O00571
D267740,P54845
D267740,P61266
D267740,P49238
D267740,Q13627
D267740,Q96PV0
D267740,P11229
D267740,P08172
D267740,Q9NZV8
D267740,P61764
D267740,P08100
D267740,Q9BY44
D267740,P01303
D267740,Q15858
D267740,P41143
D267740,Q9UHC6
D267740,Q05639
D267740,P49146
D267740,P00367
D267740,Q13418
D267740,O43526
D267740,Q9BXJ0
D267740,P14136
D267740,P55011
D267740,O14647
D267740,Q9HAN9
D267740,Q12879
D267740,Q9C0F0
D267740,P35913
D267740,P60880
D267740,Q99250
D267740,O95630
D267740,O60741
D267740,Q92834
D267740,P01189
D267740,Q8TAB3
D267740,Q9NPG4
D267740,P28472
D267740,Q9UQD0
D267740,Q16518
D267740,P21333
D267740,Q5QGS0
D267740,Q6U841
D267740,P00441
D267740,P10415
D267740,Q14515
D267740,Q00839
D267740,Q9H9P8
D267740,P43003
D267740,P45880
D267740,Q8NFD5
D267740,Q6ZNB7
D267740,Q5JPH6
D267740,Q9Y5P4
D267740,P01137
D267740,Q9P2H3
D267740,Q5T160
D267740,O15047
D267740,P08183
D267740,Q9Y397
D267740,P35372
D267740,P13500
D267740,Q8N157
D267740,Q9HCD6
D268220,P23760
D268220,O15350
D268220,Q12778
D268220,Q9GZV5
D268220,P23759
D268320,Q16518
D268320,P31939
D268320,Q86VQ0
D270960,Q8IZU3
D273300,Q92889
D273300,Q15831
D273300,O95999
D273300,O75354
D273300,O60760
D273300,Q6VMQ6
D273300,Q9Y5R6
D273300,P21583
D273300,P07992
D273300,P22607
D273300,Q92904
D273300,Q9GZV8
D273300,Q6PCD5
D273300,Q9Y6D9
D273300,O94804
D273300,P15056
D273300,P01112
D273300,O75342
D273300,P08253
D273300,P78337
D273300,P09917
D273300,Q92560
D273300,P10721
D273800,P05106
D273800,P08514
D275000,P16410
D275000,P16473
D275000,Q9BYX4
D275000,Q9NY97
D275000,P02774
D275000,Q14865
D275000,P42898
D275000,O00584
D275000,Q9Y2R2
D275000,Q96P31
D276300,P04040
D276300,Q13309
D276300,Q96RE7
D276300,P11413
D276300,P40337
D276300,Q15831
D276300,Q99967
D276300,P49902
D276300,Q8NER1
D276300,P08581
D276300,Q13948
D276300,P35354
D276300,P07333
D276300,P38936
D276300,P15336
D276300,P42772
D276300,Q9UPY3
D276300,P30281
D276300,P11387
D276300,Q9Y2T6
D276300,P27986
D276300,P15692
D276300,P42336
D276300,P31749
D276300,Q14116
D276300,P25054
D276300,Q13315
D276300,O60218
D276300,Q07869
D276300,P46527
D276300,P01111
D276300,P54278
D276300,P01116
D276300,P01112
D276300,Q14191
D276300,P15172
D276300,P21860
D276300,Q8IXB1
D276300,P24385
D276300,P10721
D276300,O15550
D276300,P52701
D276300,P41134
D276300,P18440
D276300,Q00534
D276300,P60568
D276300,P11802
D276300,Q8IWE4
D276300,P11362
D276300,P30711
D276300,O14497
D276300,P04626
D276300,P11831
D276300,P25490
D276300,P51580
D276300,Q96QB1
D276300,Q5JWF2
D276300,P35869
D276300,P15559
D276300,P61278
D276300,P42345
D276300,Q9H9Z2
D276300,Q9BYW2
D276300,P02788
D276300,P52926
D276300,Q9UH17
D276300,O75533
D276300,P29474
D276300,Q13421
D276300,P04637
D276300,P30279
D276300,P78417
D276300,P38398
D276300,P29320
D276300,Q13535
D276300,P42773
D276300,P80188
D276300,P11473
D276300,P40692
D276300,O14746
D276300,P22309
D276300,P07384
D276300,P07949
D276300,P04179
D276300,Q12882
D276300,P46531
D276300,Q12809
D276300,P35968
D276300,P60484
D276300,P49327
D276300,Q00987
D276300,P43220
D276300,Q9NR09
D276300,Q6RFH5
D276300,P01584
D276300,Q16206
D276300,P31941
D276300,P31751
D276300,P24864
D276300,Q00613
D276300,P43246
D276300,P30101
D276300,P49959
D276300,Q03405
D276300,P54132
D276300,P35222
D276300,P01106
D276300,P07992
D276300,P20585
D276300,Q9HC73
D276300,Q92911
D276300,Q8N726
D276300,P08183
D276300,O14965
D276300,Q92619
D276300,Q5SXH7
D276300,P22352
D276300,Q02750
D276300,Q15022
D276300,P03372
D276300,Q6ZN17
D276300,P15056
D276300,O00220
D276300,P00533
D276300,P29317
D276300,Q9NZQ7
D276300,Q01094
D276300,Q92560
D276300,Q16625
D277350,P02753
D277350,P12644
D277350,P09874
D277350,P22735
D277350,O95237
D277440,P51795
D277440,P11473
D277440,P78562
D277460,P02647
D277460,P04114
D277460,P49638
D278200,Q96A33
D278200,P01112
D278200,Q7Z3Z0
D278200,Q8WWY8
D278200,P43657
D278200,Q7RTS7
D278200,P46778
D278200,Q3SY84
D278200,P62304
D300125,P02462
D300125,P37173
D300125,P03372
D300125,Q5TD97
D300125,Q7Z2W7
D300125,Q07954
D300125,Q9UN88
D300125,Q9HAZ2
D300125,Q9HAC7
D300125,P28223
D300125,P06881
D300125,P50993
D300125,Q9UM47
D300232,P17927
D300232,O00499
D300232,Q13492
D300232,Q8N3H0
D300232,Q13936
D300232,Q92692
D300232,Q92673
D300232,P10909
D300232,P05067
D300491,P15328
D300491,P41091
D300491,P49768
D300491,P78381
D300491,Q13255
D300491,Q9H2X9
D300491,Q05193
D300491,P47870
D300491,Q9NY47
D300491,Q9Y289
D300491,P43005
D300491,Q14683
D300491,P22607
D300491,P21796
D300491,P15692
D300491,Q01064
D300491,O00305
D300491,Q9Y484
D300491,P31749
D300491,P49815
D300491,O95259
D300491,P08913
D300491,P53539
D300491,P55316
D300491,P05067
D300491,P17600
D300491,P35498
D300491,P18507
D300491,P63261
D300491,P43004
D300491,P41229
D300491,O76039
D300491,Q9UBL9
D300491,Q9BRB3
D300491,Q14442
D300491,Q8NCM2
D300491,O14525
D300491,Q06413
D300491,P02768
D300491,P16435
D300491,P51608
D300491,Q16881
D300491,Q00577
D300491,Q7Z6L0
D300491,Q99571
D300491,Q9H0V9
D300491,Q8WXX7
D300491,P22303
D300491,Q92574
D300491,P63302
D300491,Q6UB99
D300491,Q9NP73
D300491,Q96DA2
D300491,P09471
D300491,P01100
D300491,P07203
D300491,Q13224
D300491,P08247
D300491,Q13303
D300491,Q9UEF7
D300491,P08908
D300491,Q6UVM3
D300491,P54098
D300491,P10636
D300491,P23560
D300491,Q5JU85
D300491,Q05086
D300491,P30531
D300491,P42261
D300491,O75460
D300491,O00571
D300491,P05090
D300491,Q7Z624
D300491,P61266
D300491,Q99720
D300491,Q13627
D300491,Q96PV0
D300491,P11229
D300491,P08172
D300491,Q9NZV8
D300491,P61764
D300491,Q9BY44
D300491,P01303
D300491,Q15858
D300491,P41143
D300491,Q9UHC6
D300491,P20396
D300491,Q05639
D300491,Q9BPX6
D300491,P49146
D300491,P00367
D300491,Q13418
D300491,O43526
D300491,P14136
D300491,P55011
D300491,O14647
D300491,Q12879
D300491,Q9C0F0
D300491,P60880
D300491,P18510
D300491,Q99250
D300491,O95630
D300491,O60741
D300491,P01189
D300491,Q8TAB3
D300491,Q9NPG4
D300491,P28472
D300491,Q9UQD0
D300491,P09601
D300491,P34969
D300491,P21333
D300491,P21359
D300491,P01584
D300491,Q5QGS0
D300491,Q6U841
D300491,P10415
D300491,Q14515
D300491,Q00839
D300491,Q9H9P8
D300491,P43003
D300491,P45880
D300491,Q8NFD5
D300491,Q6ZNB7
D300491,Q5JPH6
D300491,Q9Y5P4
D300491,P01137
D300491,Q9P2U8
D300491,Q5T160
D300491,Q9P2U7
D300491,O15047
D300491,Q13519
D300491,P08183
D300491,Q9Y397
D300491,P07101
D300491,P35372
D300491,O60260
D300491,O00206
D300491,Q9HCD6
D300494,Q9NZ94
D300494,Q9NRI5
D300494,P01282
D300494,P31645
D303110,P00734
D303110,Q9UL25
D303110,Q9BY76
D303110,O75751
D303110,Q8TAM2
D303110,P02786
D303110,Q6ZW61
D303110,O60240
D303110,Q7Z7G8
D303110,P55916
D303110,Q9P2R7
D303110,Q86VB7
D303110,Q8NER1
D303110,P26583
D303110,Q96SI1
D303110,P35354
D303110,Q02252
D303110,P16870
D303110,Q9UBU3
D303110,P28340
D303110,O75056
D303110,P33121
D303110,Q5TC12
D303110,Q14651
D303110,P05181
D303110,P07451
D303110,P10082
D303110,Q7Z4W1
D303110,P48357
D303110,P48163
D303110,Q96G30
D303110,P21673
D303110,P31749
D303110,P02792
D303110,P20333
D303110,Q8N3I7
D303110,Q9UNH5
D303110,P09874
D303110,O75015
D303110,O75469
D303110,Q07869
D303110,Q03181
D303110,P24723
D303110,P08842
D303110,Q3SYG4
D303110,P18065
D303110,Q96B42
D303110,Q15848
D303110,P25942
D303110,P01375
D303110,O60543
D303110,O75390
D303110,P54819
D303110,Q06210
D303110,Q7Z3B1
D303110,P30084
D303110,P28335
D303110,Q96I99
D303110,Q8TAM1
D303110,Q6ZP98
D303110,Q96IY4
D303110,Q86TI0
D303110,Q7Z5J4
D303110,O15244
D303110,P22695
D303110,P98172
D303110,P08588
D303110,P49715
D303110,P29466
D303110,P02649
D303110,P05231
D303110,O75354
D303110,Q16678
D303110,Q9NSA1
D303110,Q8IWZ6
D303110,P01344
D303110,Q9UL68
D303110,Q86YN6
D303110,P01241
D303110,Q16568
D303110,O15527
D303110,O60266
D303110,Q16619
D303110,P05121
D303110,Q96C11
D303110,Q16836
D303110,Q9H0F7
D303110,Q9NTG7
D303110,P22033
D303110,Q12951
D303110,Q9H0A9
D303110,P25774
D303110,Q16620
D303110,P22303
D303110,P56704
D303110,P14902
D303110,O95500
D303110,P28223
D303110,O00253
D303110,P02787
D303110,P07203
D303110,P23141
D303110,B1AK53
D303110,P53396
D303110,Q5JWF2
D303110,Q8NFJ9
D303110,P35869
D303110,P15559
D303110,P06276
D303110,O15118
D303110,Q9NPJ1
D303110,Q6VY07
D303110,Q5TD94
D303110,P10644
D303110,Q15761
D303110,P29033
D303110,Q96QU1
D303110,O75712
D303110,P78504
D303110,P24386
D303110,P23560
D303110,Q9NXB0
D303110,P00167
D303110,P14780
D303110,Q8TDQ7
D303110,Q9Y6C9
D303110,O75030
D303110,Q14929
D303110,Q9HC10
D303110,P25874
D303110,P16520
D303110,P11215
D303110,P41159
D303110,Q15466
D303110,Q9BXC9
D303110,Q96EB6
D303110,Q09472
D303110,Q0ZLH3
D303110,P06858
D303110,P37231
D303110,P09067
D303110,P07550
D303110,P81133
D303110,Q96JX3
D303110,P00325
D303110,O75891
D303110,P34810
D303110,P35568
D303110,Q9C0B1
D303110,P52789
D303110,P13945
D303110,O60669
D303110,Q5SGD2
D303110,O43524
D303110,P02741
D303110,O14520
D303110,P01275
D303110,P22413
D303110,Q9UPR6
D303110,P23760
D303110,Q13485
D303110,P01189
D303110,Q16875
D303110,P04179
D303110,Q12882
D303110,Q9NRF2
D303110,Q9NRR6
D303110,P15104
D303110,P31323
D303110,P49327
D303110,P18031
D303110,P09601
D303110,P43490
D303110,P11310
D303110,P00441
D303110,O00519
D303110,Q02577
D303110,P99999
D303110,P11021
D303110,Q8IWS0
D303110,Q6VAB6
D303110,O60861
D303110,P58743
D303110,Q9NR63
D303110,P83111
D303110,O15245
D303110,P42330
D303110,Q9UG56
D303110,Q96FI4
D303110,O00763
D303110,P18428
D303110,Q14994
D303110,Q16134
D303110,O75192
D303110,P13686
D303110,P35638
D303110,P05362
D303110,P36956
D303110,O15156
D303110,Q8N394
D303110,P25929
D303110,P20382
D303110,P28845
D303110,Q12791
D303110,P55851
D303110,Q01668
D303110,P22352
D303110,P29120
D303110,P01130
D303110,P32245
D303110,P21554
D303110,P03372
D303110,P98155
D303110,P35558
D303110,Q92667
D303110,Q86SQ7
D303110,Q8J025
D303110,P15954
D303110,P22897
D303110,P13500
D303110,O95398
D303110,Q9UHB7
D303110,Q96RK4
D303110,P01308
D304790,P16410
D304790,Q9BWT1
D304790,Q9ULV0
D304790,P35638
D304790,Q5K651
D304790,P35228
D304790,Q5FBB7
D304790,P30405
D304790,Q9BZS1
D304900,P01185
D308205,O43462
D308205,P18850
D308350,Q05193
D308350,P57059
D308350,P35498
D308350,O60741
D308350,Q96QS3
D308350,Q9H936
D308350,Q13555
D308350,P09471
D308350,Q9BRB3
D310468,Q9Y210
D310468,P06280
D310468,P02649
D310468,Q27J81
D310468,P08473
D310468,P51795
D310468,P01019
D310468,Q9NPH5
D310468,P05305
D310468,O60663
D310468,P37231
D310468,P13498
D310468,P35579
D310468,P48357
D310468,P48735
D310468,P01588
D310468,P31785
D310468,P01579
D310468,Q07973
D310468,P12821
D310468,O00206
D310468,Q9BXR6
D310468,P01563
D310468,P01308
D311360,Q13253
D311360,Q9NRA8
D311360,P33261
D311360,O60383
D311360,Q9UJ98
D311360,Q9P2W1
D311360,Q8WVV4
D311360,P19544
D311360,Q06787
D311360,Q5JUK2
D311360,Q13285
D311360,Q16236
D311360,O95972
D311360,Q9UJA3
D311360,A2PYH4
D311360,O43895
D311360,Q01860
D311360,O60393
D311360,Q6QHK4
D311360,Q9NX45
D311360,P60323
D312910,O75030
D312910,Q9HC10
D312910,P58743
D312910,Q9UG56
D312910,Q0ZLH3
D312910,P28340
D312910,O15040
D312910,Q96JX3
D312910,Q14651
D312910,Q12951
D312910,Q9H0A9
D312910,Q9UNH5
D312910,Q8N394
D312910,O95500
D312910,Q01668
D312910,P33897
D312910,B1AK53
D312910,P23760
D312910,Q5TD94
D312910,P54819
D312910,Q13485
D312910,P29033
D312910,Q99447
D312910,Q96QU1
D312910,O75712
D312910,Q5TBB1
D312910,P78504
D312910,P23560
D540000,P00734
D540000,P49802
D540000,P00156
D540000,Q8WZ42
D540000,P09919
D540000,P12259
D540000,P35354
D540000,Q9P2K8
D540000,P05305
D540000,P23109
D540000,P03923
D540000,P05089
D540000,Q99697
D540000,Q13639
D540000,Q9Y287
D540000,Q9UKV0
D540000,Q12947
D540000,Q07869
D540000,P05067
D540000,P01375
D540000,Q06210
D540000,Q14432
D540000,Q6ZP98
D540000,A4D126
D540000,Q93097
D540000,P01034
D540000,P02768
D540000,P05231
D540000,Q9NWM0
D540000,Q13702
D540000,Q00534
D540000,P08514
D540000,P07858
D540000,Q86V15
D540000,Q9Y2L9
D540000,Q7LG56
D540000,P21397
D540000,P03905
D540000,Q5TCZ1
D540000,P02647
D540000,P04035
D540000,P54646
D540000,O00429
D540000,P12821
D540000,P16442
D540000,P48788
D540000,P00414
D540000,P06756
D540000,Q9NVI7
D540000,Q8WU10
D540000,P06280
D540000,P35228
D540000,P23786
D540000,P02462
D540000,P25101
D540000,P02461
D540000,O95264
D540000,P10914
D540000,P02671
D540000,O15119
D540000,Q6P2Q9
D540000,Q9BPX6
D540000,P39900
D540000,P01583
D540000,P00395
D540000,P08559
D540000,Q9Y6L6
D540000,P18510
D540000,P03915
D540000,Q13485
D540000,Q13093
D540000,P04179
D540000,P00750
D540000,P05106
D540000,Q01484
D540000,P52952
D540000,P34969
D540000,P01584
D540000,P00441
D540000,P11217
D540000,Q96KG7
D540000,O14649
D540000,P00749
D540000,P00403
D540000,Q12948
D540000,P01137
D540000,P49682
D540000,Q9BQB6
D540000,P05362
D540000,P05413
D540000,P42898
D540000,O60636
D540000,P03886
D540000,P55851
D540000,Q6QHF9
D540000,Q8WYQ9
D540000,P49773
D540000,Q9UM47
D540000,Q9UQQ2
D540000,P01308
D600082,P01236
D600082,P07288
D600082,P31213
D600082,P21781
D600131,P15328
D600131,P41091
D600131,P78381
D600131,Q13255
D600131,Q9H2X9
D600131,P11166
D600131,Q05193
D600131,P47870
D600131,Q9NY47
D600131,Q9Y289
D600131,P43005
D600131,Q14683
D600131,P22607
D600131,P21796
D600131,O00305
D600131,Q9Y484
D600131,P31749
D600131,P49815
D600131,O95259
D600131,P08913
D600131,P53539
D600131,P55316
D600131,P35498
D600131,P18507
D600131,P63261
D600131,P43004
D600131,P41229
D600131,O76039
D600131,Q9UBL9
D600131,P14867
D600131,Q9BRB3
D600131,Q14442
D600131,Q8NCM2
D600131,O14525
D600131,Q06413
D600131,P02768
D600131,P51608
D600131,Q16881
D600131,Q00577
D600131,Q7Z6L0
D600131,Q99571
D600131,Q9H0V9
D600131,Q8WXX7
D600131,O95180
D600131,Q92574
D600131,P63302
D600131,Q6UB99
D600131,Q9NP73
D600131,Q96DA2
D600131,P09471
D600131,P01100
D600131,P07203
D600131,Q13224
D600131,Q13303
D600131,Q6UVM3
D600131,P54098
D600131,P23560
D600131,Q5JU85
D600131,Q05086
D600131,P30531
D600131,O75460
D600131,O00571
D600131,P61266
D600131,Q13627
D600131,Q96PV0
D600131,P11229
D600131,P08172
D600131,Q9NZV8
D600131,P61764
D600131,Q9BY44
D600131,P01303
D600131,Q15858
D600131,P41143
D600131,Q9UHC6
D600131,Q05639
D600131,O75564
D600131,P49146
D600131,P00367
D600131,Q13418
D600131,O43526
D600131,P14136
D600131,P55011
D600131,O14647
D600131,Q12879
D600131,Q9C0F0
D600131,P60880
D600131,Q99250
D600131,O95630
D600131,O60741
D600131,P01189
D600131,Q8TAB3
D600131,Q9NPG4
D600131,P28472
D600131,Q9UQD0
D600131,P21333
D600131,Q5QGS0
D600131,Q6U841
D600131,Q14515
D600131,Q00839
D600131,Q9H9P8
D600131,P43003
D600131,P45880
D600131,Q8NFD5
D600131,Q6ZNB7
D600131,Q5JPH6
D600131,Q9Y5P4
D600131,P01137
D600131,Q5T160
D600131,O15047
D600131,P08183
D600131,Q9Y397
D600131,P35372
D600131,Q9HCD6
D600263,P23471
D600351,P16410
D600351,P04040
D600351,Q9ULV0
D600351,P19634
D600351,P00390
D600351,P35228
D600351,Q5FBB7
D600351,Q14790
D600351,P05231
D600351,Q9BWT1
D600351,P02458
D600351,P01042
D600351,P35354
D600351,Q9BXJ7
D600351,P48764
D600351,P10145
D600351,P42226
D600351,P06881
D600351,P35638
D600351,P20366
D600351,P30405
D600351,P02647
D600351,P20809
D600351,P42574
D600351,P01282
D600351,P12272
D600351,P01178
D600351,P01375
D600351,Q5K651
D600351,P55211
D600351,P01189
D600351,Q9UBY0
D600351,P52564
D600351,P01308
D600496,O14901
D600496,P35557
D600496,Q14654
D600496,P20823
D600496,P01308
D600496,Q13562
D600496,Q09428
D600496,P41235
D600496,P52945
D600496,Q9UKG1
D600496,P51451
D600496,P35680
D600634,P12644
D600634,P01236
D600634,O00170
D600634,Q9H251
D600634,O00255
D600634,P49716
D600803,P21439
D600807,P04040
D600807,O75762
D600807,P05113
D600807,Q08499
D600807,Q8IZI9
D600807,P05305
D600807,P05112
D600807,Q8TAX7
D600807,P05089
D600807,P15692
D600807,Q07343
D600807,P09874
D600807,Q01638
D600807,P08571
D600807,Q96PL1
D600807,P09211
D600807,P04440
D600807,P01375
D600807,P78540
D600807,P08727
D600807,P67775
D600807,P05231
D600807,P35325
D600807,P12724
D600807,P10242
D600807,P05091
D600807,P01909
D600807,Q08462
D600807,Q15025
D600807,P13501
D600807,P02818
D600807,P80365
D600807,O95715
D600807,Q92878
D600807,P26358
D600807,P09238
D600807,P03956
D600807,P15559
D600807,P35625
D600807,P09917
D600807,Q9UL17
D600807,P24821
D600807,Q9Y5Y4
D600807,Q9UI47
D600807,P35225
D600807,P14780
D600807,P01911
D600807,Q9Y496
D600807,P35228
D600807,Q8NI36
D600807,P15514
D600807,Q6ZTQ4
D600807,P07550
D600807,P01303
D600807,Q969D9
D600807,Q8TAX9
D600807,P18510
D600807,Q13093
D600807,P60484
D600807,P08887
D600807,P09601
D600807,Q6W5P4
D600807,P01584
D600807,P00441
D600807,P10415
D600807,Q8TE73
D600807,P00749
D600807,P01137
D600807,P09488
D600807,P41586
D600807,P51671
D600807,P50135
D600807,P05362
D600807,Q8N138
D600807,Q6K0P9
D600807,P13500
D600807,Q9UKT9
D600807,P17693
D600807,O95760
D600807,P01920
D601042,P21554
D601042,P11166
D601042,O94805
D601042,Q13144
D601042,Q9UBP0
D601042,O60828
D601367,P00734
D601367,P52952
D601367,Q93097
D601367,P01584
D601367,P49802
D601367,P29474
D601367,P00441
D601367,P06280
D601367,P35228
D601367,P01034
D601367,P02768
D601367,P05231
D601367,Q9NWM0
D601367,P20292
D601367,P02462
D601367,P00749
D601367,P12259
D601367,P25101
D601367,Q00534
D601367,O14649
D601367,P02461
D601367,P05305
D601367,P35354
D601367,P08514
D601367,Q12948
D601367,P01137
D601367,P49682
D601367,P69905
D601367,P10914
D601367,P01303
D601367,P02671
D601367,P00325
D601367,P11473
D601367,O15119
D601367,Q6P2Q9
D601367,Q86V15
D601367,Q99697
D601367,Q9BQB6
D601367,P05362
D601367,Q13639
D601367,Q9Y287
D601367,Q9Y2L9
D601367,Q9UKV0
D601367,P39900
D601367,P42898
D601367,Q5TCZ1
D601367,O60636
D601367,Q12947
D601367,P02647
D601367,P55851
D601367,P54646
D601367,P24723
D601367,Q6QHF9
D601367,P05067
D601367,Q8WYQ9
D601367,P06756
D601367,P01375
D601367,P18510
D601367,P12821
D601367,Q13093
D601367,Q14432
D601367,P00750
D601367,P16442
D601367,Q6ZP98
D601367,P05106
D601367,Q9UM47
D601367,Q9UQQ2
D601367,Q01484
D601518,Q15828
D601518,P19440
D601518,P14061
D601518,Q15262
D601518,Q03112
D601518,Q9UJA9
D601518,P42338
D601518,Q9BZK7
D601518,Q96RU2
D601518,Q5VYX0
D601518,Q9NVW2
D601518,P31749
D601518,O00592
D601518,Q6N021
D601518,P54855
D601518,P63151
D601518,O14686
D601518,Q14435
D601518,P01116
D601518,P41161
D601518,Q96AY4
D601518,P62913
D601518,P40763
D601518,Q9BQE4
D601518,Q9NQU5
D601518,Q6ZP98
D601518,Q9H3R1
D601518,P33260
D601518,P24385
D601518,Q8WWH4
D601518,P04632
D601518,P07288
D601518,Q92934
D601518,P40189
D601518,P05231
D601518,Q9UKQ2
D601518,Q16678
D601518,Q15811
D601518,O95049
D601518,O96017
D601518,P18440
D601518,P18146
D601518,O15527
D601518,P51636
D601518,Q9NY26
D601518,Q8TC71
D601518,Q8NEU8
D601518,Q92731
D601518,P16152
D601518,P10145
D601518,P27695
D601518,Q15041
D601518,P02818
D601518,O14656
D601518,Q9UQ10
D601518,P26367
D601518,P56705
D601518,P21266
D601518,P22303
D601518,Q92794
D601518,Q96NT3
D601518,Q05516
D601518,Q13618
D601518,Q15311
D601518,P12272
D601518,Q8IVH2
D601518,P11717
D601518,Q9Y5Y6
D601518,Q9HCM7
D601518,P01160
D601518,Q9UJM8
D601518,P06340
D601518,P82970
D601518,O75795
D601518,Q9H173
D601518,Q9NZR2
D601518,P10909
D601518,P20815
D601518,Q13459
D601518,P61769
D601518,Q9UBB5
D601518,O75533
D601518,P50548
D601518,Q9NVI7
D601518,Q13641
D601518,P08670
D601518,P04920
D601518,Q04609
D601518,P24390
D601518,Q9UIF9
D601518,P14060
D601518,P41159
D601518,P04156
D601518,P04150
D601518,P30279
D601518,P78417
D601518,Q13535
D601518,P28289
D601518,P54849
D601518,P80303
D601518,P54821
D601518,Q16651
D601518,O15439
D601518,P48595
D601518,Q9ULV3
D601518,P35568
D601518,P51587
D601518,O00329
D601518,O14746
D601518,Q9Y365
D601518,Q03518
D601518,P55011
D601518,Q9UBQ7
D601518,Q687X5
D601518,O75342
D601518,Q2KHR2
D601518,Q9UBX5
D601518,Q9HB55
D601518,Q15047
D601518,P20151
D601518,Q00987
D601518,Q9UBC3
D601518,Q9Y2S2
D601518,P04090
D601518,Q14849
D601518,O75364
D601518,P07099
D601518,Q99727
D601518,P10415
D601518,O75131
D601518,P58753
D601518,P30101
D601518,Q12948
D601518,P35222
D601518,Q02535
D601518,P08238
D601518,P05362
D601518,P20585
D601518,Q13217
D601518,Q15011
D601518,Q969G6
D601518,P62805
D601518,P22352
D601518,O14980
D601518,Q8N4S7
D601518,P16949
D601518,P11308
D601518,P08651
D601518,P55327
D601518,P55317
D601518,O43511
D601518,Q9Y2K7
D601518,O60602
D601518,Q9BZA8
D601518,P13716
D601518,P57054
D601518,Q7L2E3
D601518,P51946
D601518,Q9BTA9
D601518,Q92633
D601518,P50539
D601518,P55916
D601518,P26583
D601518,P09525
D601518,Q96IZ0
D601518,P11388
D601518,Q16890
D601518,O60763
D601518,O14633
D601518,P47974
D601518,Q9HCK4
D601518,Q68DV7
D601518,P48431
D601518,Q9H4M3
D601518,Q9Y653
D601518,P11245
D601518,P25054
D601518,P54852
D601518,P42702
D601518,Q96CS3
D601518,P09211
D601518,Q05823
D601518,P18074
D601518,Q08426
D601518,P01112
D601518,P05093
D601518,P78540
D601518,P55771
D601518,Q5VT52
D601518,P08575
D601518,Q15596
D601518,P55289
D601518,P26012
D601518,Q13113
D601518,Q92692
D601518,P63218
D601518,P20062
D601518,Q8NDI1
D601518,Q14643
D601518,P11047
D601518,Q8NEZ4
D601518,O75175
D601518,Q9NYT0
D601518,Q6ZSZ6
D601518,P05121
D601518,O94788
D601518,Q96RR4
D601518,Q9NZC4
D601518,Q14451
D601518,O00744
D601518,O14497
D601518,Q99988
D601518,P25940
D601518,P17342
D601518,P55072
D601518,Q14118
D601518,P15559
D601518,Q9UHK6
D601518,P25311
D601518,P07339
D601518,P12524
D601518,P12821
D601518,P32119
D601518,O60488
D601518,P09917
D601518,O75363
D601518,O75874
D601518,P14780
D601518,P17987
D601518,P23142
D601518,Q14790
D601518,P08684
D601518,Q8NEC7
D601518,Q03135
D601518,Q96KA5
D601518,Q9NZM3
D601518,Q9UJ70
D601518,P38398
D601518,O95409
D601518,Q9NSI5
D601518,P02511
D601518,P58335
D601518,O15372
D601518,P14174
D601518,Q8N1B4
D601518,P50281
D601518,Q96KN3
D601518,Q14152
D601518,Q9BQG0
D601518,Q03164
D601518,O75956
D601518,O75509
D601518,P39059
D601518,P17302
D601518,P60022
D601518,O60437
D601518,O43653
D601518,P21964
D601518,P04179
D601518,Q9HAC7
D601518,P60484
D601518,P36955
D601518,P04818
D601518,Q6BDS2
D601518,P05106
D601518,P35670
D601518,P50549
D601518,P55318
D601518,Q8NEV9
D601518,Q8N5M4
D601518,Q96GV9
D601518,O60934
D601518,P78423
D601518,Q13443
D601518,Q9P2W7
D601518,Q12873
D601518,Q92615
D601518,P00749
D601518,P42330
D601518,Q9NQC1
D601518,Q86XS8
D601518,P05981
D601518,Q9BQ52
D601518,Q03405
D601518,P11511
D601518,P09488
D601518,P30550
D601518,Q8TEY5
D601518,P39019
D601518,Q92911
D601518,P15884
D601518,P11509
D601518,P08118
D601518,Q9UIS9
D601518,Q16270
D601518,Q14703
D601518,P10275
D601518,P03372
D601518,P49841
D601518,P34096
D601518,Q76FK4
D601518,P20645
D601518,Q6BEB4
D601518,O00206
D601518,Q9Y337
D601518,P82094
D601518,P07237
D601518,P05019
D601518,P43308
D601518,Q92560
D601518,Q9H4L7
D601518,O76080
D601518,O75674
D601518,P22301
D601518,Q8IWU2
D601518,P04798
